epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,403.429,0.98431,0.71906,1.14227,0.76539,0.69957,0.77329,0.49985,1.25236,1.01274,1.34368,0.00185744,0.00185744,0.00185744
74,408.831,1.019,0.71959,1.16863,0.77202,0.72418,0.7925,0.5222,1.24798,0.96864,1.33775,0.00185546,0.00185546,0.00185546
75,414.169,1.01221,0.74277,1.1729,0.82034,0.76364,0.82524,0.55146,1.20771,0.88308,1.33827,0.00185348,0.00185348,0.00185348
76,419.511,0.99068,0.7078,1.16362,0.83273,0.71979,0.80244,0.51766,1.26243,0.93923,1.37726,0.0018515,0.0018515,0.0018515
77,424.84,0.99863,0.71945,1.16985,0.81117,0.72528,0.80669,0.52208,1.22186,0.94293,1.33399,0.00184952,0.00184952,0.00184952
78,430.189,1.01423,0.71812,1.15434,0.74131,0.70909,0.7351,0.45994,1.31187,1.12735,1.40545,0.00184754,0.00184754,0.00184754
79,435.581,0.98544,0.72348,1.14689,0.80629,0.74959,0.81407,0.53686,1.21213,0.89842,1.33199,0.00184556,0.00184556,0.00184556
80,440.95,0.99143,0.72772,1.16444,0.77468,0.73506,0.78884,0.5139,1.24651,0.95884,1.35492,0.00184358,0.00184358,0.00184358
81,446.306,0.99639,0.70928,1.16048,0.77221,0.75138,0.77835,0.49578,1.26237,0.97792,1.36844,0.0018416,0.0018416,0.0018416
82,451.657,0.96034,0.6894,1.14088,0.78692,0.76421,0.79335,0.5218,1.22238,0.91467,1.33444,0.00183962,0.00183962,0.00183962
83,457.087,0.95984,0.69256,1.13527,0.77155,0.71775,0.76718,0.48248,1.27397,1.02094,1.38856,0.00183764,0.00183764,0.00183764
84,462.46,0.95277,0.6721,1.14114,0.81731,0.78627,0.83243,0.55229,1.18569,0.84586,1.31338,0.00183566,0.00183566,0.00183566
85,467.826,0.94532,0.67281,1.1314,0.81863,0.74372,0.81172,0.54377,1.19031,0.93042,1.32406,0.00183368,0.00183368,0.00183368
86,473.209,0.95442,0.66597,1.11843,0.841,0.7373,0.80656,0.52631,1.20181,0.90756,1.35062,0.0018317,0.0018317,0.0018317
87,478.563,0.9705,0.67911,1.14172,0.8181,0.71342,0.79843,0.52295,1.21397,0.93744,1.37154,0.00182972,0.00182972,0.00182972
88,483.904,0.93695,0.65931,1.13304,0.79132,0.74199,0.79857,0.52526,1.22028,0.93429,1.33653,0.00182774,0.00182774,0.00182774
89,489.299,0.93062,0.65438,1.11455,0.80612,0.76677,0.82164,0.55355,1.17223,0.88081,1.31976,0.00182576,0.00182576,0.00182576
90,494.592,0.95198,0.67113,1.13601,0.72388,0.71169,0.75391,0.48493,1.27121,1.08769,1.37889,0.00182378,0.00182378,0.00182378
91,499.962,0.94888,0.66667,1.12549,0.78686,0.68485,0.76696,0.49041,1.28702,1.03571,1.38833,0.0018218,0.0018218,0.0018218
92,505.369,1.00452,0.68132,1.13693,0.77143,0.713,0.78026,0.48517,1.35202,0.97357,1.40851,0.00181982,0.00181982,0.00181982
93,510.716,0.97166,0.66585,1.14136,0.77251,0.72912,0.78618,0.51275,1.25677,0.94823,1.35999,0.00181784,0.00181784,0.00181784
94,516.108,0.96715,0.66844,1.13442,0.78123,0.73766,0.79202,0.51901,1.24096,0.93814,1.35709,0.00181586,0.00181586,0.00181586
95,521.438,0.95234,0.66555,1.13182,0.77048,0.72661,0.77718,0.49732,1.29065,0.97275,1.38897,0.00181388,0.00181388,0.00181388
96,526.84,0.93958,0.65162,1.12231,0.80434,0.75455,0.80891,0.52953,1.21988,0.89915,1.34706,0.0018119,0.0018119,0.0018119
97,532.193,0.94505,0.64191,1.11686,0.78876,0.72417,0.78504,0.50661,1.25749,0.96247,1.37353,0.00180992,0.00180992,0.00180992
98,537.556,0.9706,0.67689,1.14592,0.83195,0.73333,0.81161,0.54003,1.20217,0.927,1.33753,0.00180794,0.00180794,0.00180794
99,542.98,0.91886,0.64586,1.11276,0.81985,0.73333,0.80445,0.52443,1.22437,0.92397,1.36362,0.00180596,0.00180596,0.00180596
100,548.312,0.95673,0.65988,1.13394,0.74327,0.75758,0.78415,0.50966,1.25355,0.9527,1.3973,0.00180398,0.00180398,0.00180398
101,553.673,0.93689,0.66937,1.12454,0.81777,0.73593,0.80352,0.52392,1.2581,0.93022,1.38814,0.001802,0.001802,0.001802
102,559.113,0.92258,0.64884,1.10176,0.80672,0.72999,0.78747,0.50162,1.30942,0.96404,1.45054,0.00180002,0.00180002,0.00180002
103,564.405,0.9163,0.62541,1.1118,0.81726,0.76668,0.82122,0.53188,1.25363,0.88115,1.39075,0.00179804,0.00179804,0.00179804
104,569.785,0.92407,0.64135,1.12279,0.81553,0.72814,0.80529,0.52042,1.24206,0.94361,1.35525,0.00179606,0.00179606,0.00179606
105,575.108,0.89462,0.62598,1.0936,0.82584,0.73593,0.80654,0.52921,1.2314,0.93649,1.36148,0.00179408,0.00179408,0.00179408
106,580.54,0.95666,0.65463,1.11507,0.82137,0.69671,0.78274,0.50136,1.27617,0.98395,1.3856,0.0017921,0.0017921,0.0017921
107,585.999,0.94709,0.66009,1.13222,0.82673,0.7342,0.8091,0.52648,1.20459,0.9025,1.33562,0.00179012,0.00179012,0.00179012
108,591.461,0.93955,0.65423,1.10631,0.80229,0.77489,0.82735,0.54317,1.20461,0.87018,1.36013,0.00178814,0.00178814,0.00178814
109,596.793,0.92724,0.65129,1.1143,0.81743,0.73766,0.81321,0.52836,1.25637,0.91599,1.38913,0.00178616,0.00178616,0.00178616
110,602.195,0.9233,0.63669,1.10683,0.77008,0.73939,0.78633,0.51535,1.23646,0.93974,1.36083,0.00178418,0.00178418,0.00178418
111,607.538,0.89657,0.6214,1.09942,0.81151,0.71568,0.79422,0.50627,1.3025,0.96003,1.40667,0.0017822,0.0017822,0.0017822
112,612.827,0.90408,0.60272,1.09776,0.80079,0.74479,0.80532,0.52987,1.23686,0.93577,1.37107,0.00178022,0.00178022,0.00178022
113,618.163,0.91408,0.62215,1.10949,0.80273,0.72554,0.79054,0.51354,1.26697,0.95386,1.3883,0.00177824,0.00177824,0.00177824
114,623.51,0.91343,0.63114,1.10558,0.81839,0.7368,0.79551,0.52103,1.25046,0.94117,1.36925,0.00177626,0.00177626,0.00177626
115,628.876,0.89392,0.61391,1.08607,0.81172,0.74286,0.79661,0.51964,1.26343,0.91031,1.38176,0.00177428,0.00177428,0.00177428
116,634.211,0.88366,0.60416,1.0781,0.81081,0.76277,0.81501,0.54052,1.23236,0.88591,1.35404,0.0017723,0.0017723,0.0017723
117,639.593,0.86503,0.59158,1.08174,0.82886,0.75152,0.81455,0.54276,1.23581,0.87265,1.33861,0.00177032,0.00177032,0.00177032
118,644.97,0.87008,0.59345,1.0713,0.79927,0.72468,0.77902,0.50654,1.27211,0.9323,1.3888,0.00176834,0.00176834,0.00176834
119,650.363,0.88503,0.6024,1.08441,0.82006,0.73786,0.81194,0.52216,1.27106,0.90239,1.39395,0.00176636,0.00176636,0.00176636
120,655.76,0.87923,0.58718,1.0827,0.84118,0.74372,0.81449,0.52822,1.27459,0.88168,1.37376,0.00176438,0.00176438,0.00176438
121,661.124,0.87618,0.59596,1.08853,0.84587,0.73174,0.80654,0.5322,1.23822,0.88674,1.36633,0.0017624,0.0017624,0.0017624
122,666.433,0.87049,0.58541,1.07877,0.80765,0.76364,0.81821,0.537,1.24204,0.8811,1.36911,0.00176042,0.00176042,0.00176042
123,671.809,0.88089,0.58889,1.07835,0.78436,0.72987,0.78281,0.50846,1.25865,0.96176,1.38196,0.00175844,0.00175844,0.00175844
124,677.199,0.87661,0.59076,1.0753,0.81669,0.70202,0.7823,0.5035,1.27788,0.98874,1.38456,0.00175646,0.00175646,0.00175646
125,682.622,0.8893,0.59943,1.08595,0.82093,0.7224,0.792,0.51854,1.23938,0.94206,1.38026,0.00175448,0.00175448,0.00175448
126,687.95,0.85077,0.56906,1.0708,0.7907,0.74575,0.78589,0.50034,1.3091,0.95836,1.44949,0.0017525,0.0017525,0.0017525
127,693.306,0.86799,0.5789,1.07686,0.82913,0.75202,0.81407,0.54308,1.22324,0.89321,1.37591,0.00175052,0.00175052,0.00175052
128,698.666,0.84797,0.56993,1.06605,0.81888,0.73594,0.80273,0.52593,1.21961,0.90697,1.36097,0.00174854,0.00174854,0.00174854
129,704.052,0.86565,0.5737,1.06825,0.77144,0.77733,0.80909,0.53621,1.22198,0.8943,1.36978,0.00174656,0.00174656,0.00174656
130,709.491,0.86748,0.58547,1.08064,0.79169,0.73939,0.79085,0.51578,1.24306,0.92131,1.38143,0.00174458,0.00174458,0.00174458
131,714.837,0.85218,0.57711,1.07719,0.79652,0.72641,0.79001,0.51043,1.25514,0.91386,1.39112,0.0017426,0.0017426,0.0017426
132,720.168,0.84459,0.57493,1.08086,0.82027,0.73593,0.80498,0.52209,1.24343,0.92586,1.38833,0.00174062,0.00174062,0.00174062
133,725.523,0.84874,0.56927,1.07387,0.80267,0.75325,0.80987,0.5304,1.24559,0.90749,1.38711,0.00173864,0.00173864,0.00173864
134,730.876,0.84148,0.56185,1.06008,0.80063,0.74978,0.80839,0.52987,1.23289,0.92131,1.37733,0.00173666,0.00173666,0.00173666
135,736.256,0.85088,0.56347,1.07205,0.82719,0.72208,0.79837,0.51189,1.28532,0.95103,1.40517,0.00173468,0.00173468,0.00173468
136,741.634,0.8624,0.56852,1.08006,0.81105,0.76277,0.81976,0.54181,1.2287,0.90789,1.38088,0.0017327,0.0017327,0.0017327
137,746.976,0.82787,0.55633,1.05759,0.80474,0.78182,0.82749,0.54859,1.2291,0.89085,1.38237,0.00173072,0.00173072,0.00173072
138,752.367,0.86785,0.57431,1.06486,0.79476,0.77784,0.8213,0.54355,1.23158,0.89639,1.37445,0.00172874,0.00172874,0.00172874
139,757.733,0.83444,0.55719,1.05517,0.84244,0.73603,0.81453,0.54807,1.21131,0.89275,1.35303,0.00172676,0.00172676,0.00172676
140,763.097,0.84233,0.56444,1.06567,0.78093,0.72641,0.7818,0.51012,1.2699,0.9874,1.39524,0.00172478,0.00172478,0.00172478
141,768.46,0.85133,0.55964,1.07151,0.77966,0.71255,0.77812,0.51161,1.23853,0.96324,1.38096,0.0017228,0.0017228,0.0017228
142,773.819,0.8514,0.55396,1.07582,0.81622,0.75366,0.80523,0.52265,1.26086,0.91196,1.39029,0.00172082,0.00172082,0.00172082
143,779.189,0.87899,0.57078,1.07992,0.814,0.74719,0.79939,0.51958,1.26039,0.89273,1.39239,0.00171884,0.00171884,0.00171884
144,784.547,0.86109,0.56532,1.07275,0.79463,0.73074,0.79244,0.50187,1.2996,0.95899,1.41828,0.00171686,0.00171686,0.00171686
145,789.878,0.82046,0.53812,1.04361,0.76574,0.78355,0.81231,0.53072,1.23966,0.8943,1.37748,0.00171488,0.00171488,0.00171488
146,795.215,0.83369,0.53573,1.0643,0.80351,0.75152,0.81027,0.52603,1.26805,0.89185,1.40147,0.0017129,0.0017129,0.0017129
147,800.543,0.83976,0.54981,1.08076,0.84036,0.70649,0.80099,0.51839,1.25398,0.92731,1.38588,0.00171092,0.00171092,0.00171092
148,805.953,0.8509,0.55608,1.06555,0.77147,0.72641,0.77121,0.49104,1.29136,0.96279,1.42639,0.00170894,0.00170894,0.00170894
149,811.303,0.81441,0.53888,1.0483,0.78438,0.76223,0.8027,0.51871,1.26353,0.91066,1.40682,0.00170696,0.00170696,0.00170696
150,816.636,0.81778,0.5481,1.04706,0.81819,0.73333,0.79642,0.51574,1.30066,0.93358,1.44897,0.00170498,0.00170498,0.00170498
